,port-name,country,vessel_type_main,count,count_max,utilization_count,dwt,dwt_max,utilization_dwt,tat_median,tat_mean,id,handling_base,congestion,handling
0,Abbot Point,Australia,Dry bulk,6.913461538461538,13,0.5318047337278107,676523.641572396,1142904.0,0.591933917085246,25.793888888888887,28.693832483387457,port0,0.2437561603803897,1.4148104334150169,0.3448687589153595
1,Abbot Point,Australia,General cargo,0.16346153846153846,2,0.08173076923076923,14337.513961843712,209804.0,0.06833765782274748,24.86861111111111,26.17055555555556,port0,0.2649853365254482,1.0006382785728536,0.2651544709878728
2,Abbot Point,Australia,Tanker,0.057692307692307696,1,0.057692307692307696,5399.399262179488,172124.63739999998,0.03136912497675646,24.709305555555552,25.936296296296295,port0,0.2945157001878468,1.000061735818309,0.29453388235560274
3,Abenra,Denmark,Dry bulk,0.9423076923076923,3,0.3141025641025641,26220.365384615383,180201.0,0.14550621464151356,21.87819444444446,32.09797619047618,port1,0.305944016971802,1.0061613321768044,0.3078290396878712
4,Abenra,Denmark,General cargo,4.0576923076923075,9,0.4508547008547008,14954.778158736404,41456.791666666664,0.360731681288323,17.896111111111125,27.23045747761983,port1,0.3314699844699806,1.0938821125254388,0.36258908685079677
5,Abenra,Denmark,Tanker,1.625,8,0.203125,54816.42907928826,266889.0,0.20539036483065343,18.724722222222223,21.59743589743588,port1,0.3113937978856527,1.0173288680442027,0.3167898999189963
6,Aberdeen,U.S.A.,Dry bulk,1.1826923076923077,5,0.23653846153846153,63337.70912632554,215194.50053340552,0.2943277312818381,91.95277777777775,100.77721093044269,port2,0.2783664977219751,1.0509945242242105,0.29256166483326695
7,Aberdeen,U.S.A.,General cargo,0.057692307692307696,2,0.028846153846153848,2107.007257281607,63464.0,0.03320003871929924,86.83763888888889,85.59402777777775,port2,0.303031567012407,1.000073188992068,0.3030537455873614
8,Aberdeen,U.S.A.,RoRo,0.25,1,0.25,3301.0163028554775,22747.0,0.14511875424695467,36.551388888888894,40.69063034188035,port2,0.3134605362436664,1.0061122431208398,0.31537648324997647
9,Aberdeen,U.S.A.,Tanker,0.1346153846153846,2,0.0673076923076923,4638.592011095849,63371.0,0.07319739330444286,44.65847222222222,70.10027777777779,port2,0.2617784540590361,1.0007843625351818,0.2619837832709178
10,Aberdeen,United Kingdom,Container,0.019230769230769232,2,0.009615384615384616,177.6346153846154,18474.0,0.009615384615384616,68.78361111111111,68.78361111111111,port3,0.2984828817450362,1.0000017779927173,0.29848341244542614
11,Aberdeen,United Kingdom,Dry bulk,0.15384615384615385,2,0.07692307692307693,2392.54823992674,66344.0,0.036062767393083624,23.12763888888889,30.38043402777778,port3,0.3200022957061784,1.0000938009307283,0.3200323122193508
12,Aberdeen,United Kingdom,General cargo,4.403846153846154,9,0.48931623931623935,19902.452037518746,52492.884666666665,0.3791457102024522,27.65027777777778,33.167360504609405,port3,0.3003988064293358,1.109005506041677,0.33314393033848133
13,Aberdeen,United Kingdom,RoRo,6.298076923076923,10,0.6298076923076923,35455.144230769234,55520.0,0.6386013009864776,10.0427777777777,14.321219677692962,port3,0.3350493974414085,1.5208580642499456,0.5095625780208513
14,Aberdeen,United Kingdom,Tanker,3.7596153846153846,8,0.4699519230769231,20862.078473305857,41070.0,0.5079639267909876,14.79583333333332,15.896572890025569,port3,0.2976024170726638,1.2621371727865331,0.3756150732985306
15,Abidjan,Cote d'Ivoire,Container,7.423076923076923,13,0.5710059171597633,358076.2389357775,630940.559247619,0.5675276912975361,29.559861111111115,32.720983736327,port4,0.2814137897595866,1.3655873552936764,0.3842951129009645
16,Abidjan,Cote d'Ivoire,Dry bulk,7.153846153846154,13,0.5502958579881657,307395.9913722727,576397.0,0.533306022363532,119.51236111111112,140.0689112903227,port4,0.2790073485248041,1.3033607990724174,0.3636472407203651
17,Abidjan,Cote d'Ivoire,General cargo,8.39423076923077,14,0.5995879120879122,92638.53422865261,211498.58475,0.43801018497667565,60.583055555555525,83.92448739977098,port4,0.289609834089771,1.1680670678326066,0.33828370972072647
18,Abidjan,Cote d'Ivoire,RoRo,3.0,6,0.5,69857.39270898222,152562.0,0.4578951030334043,18.267916666666665,22.98999999999999,port4,0.3006345583377891,1.1920118325911564,0.3583599508244609
19,Abidjan,Cote d'Ivoire,Tanker,4.028846153846154,7,0.5755494505494506,90287.51557177755,407512.0,0.22155793098553553,48.45472222222224,54.73817090957304,port4,0.3006345583377891,1.0217516345574822,0.30717385138610276
20,Abu Zaby,United Arab Emirates,Container,19.384615384615383,32,0.6057692307692307,1443064.8170627824,2281465.0,0.6325167456273852,16.625555555555557,18.02278425374782,port5,0.2767237030165843,1.5061113524715621,0.41677671061124666
21,Abu Zaby,United Arab Emirates,Dry bulk,5.298076923076923,12,0.4415064102564103,330258.3683081171,802408.6224,0.4115837730161922,53.46666666666667,67.29313722524711,port5,0.3092241674159403,1.1394455719183427,0.35234410829222945
22,Abu Zaby,United Arab Emirates,General cargo,8.846153846153847,19,0.46558704453441296,105336.57027358645,338929.1075761905,0.31079233951574087,32.36180555555556,64.28123973429953,port5,0.3182830254768416,1.06004003167119,0.33739274840687333
23,Abu Zaby,United Arab Emirates,RoRo,2.9615384615384617,8,0.3701923076923077,60273.171897123175,173071.0,0.34825691130878755,8.8,11.158070887445891,port5,0.3239022689044846,1.0844751997718927,0.3512639777767602
24,Abu Zaby,United Arab Emirates,Tanker,1.875,8,0.234375,54514.17976544653,268087.0,0.2033451072429716,21.624722222222204,30.265216524216516,port5,0.3239022689044846,1.0168163282910507,0.3293491157925986
