port-name,country,Industries,Import_capacity,Export_capacity,Import_sector,Export_sector,import_correction,export_correction
Abidjan,Cote d'Ivoire,1,1787091.5034842098,872673.017051033,817035.2968794957,398974.9020544857,2.187288003724749,2.187288003724748
Abidjan,Cote d'Ivoire,2,27130.70201027314,21269.693666499355,12334.747426101556,9670.08885754151,2.1995344592838495,2.199534459283851
Abidjan,Cote d'Ivoire,3,4762418.816755903,2273477.055684334,901489.9534158375,430352.0550964374,5.282830716760194,5.282830716760192
Abidjan,Cote d'Ivoire,4,437834.4088147846,215828.86591586994,524816.3320312555,258706.2859290917,0.8342621639082477,0.8342621639082478
Abidjan,Cote d'Ivoire,5,145098.45492390194,88116.22605450114,57515.95449142355,34928.62036583834,2.5227514036220713,2.5227514036220713
Abidjan,Cote d'Ivoire,6,166846.22289247223,79646.22068762594,271584.1678225846,129644.24480620801,0.6143444377857342,0.6143444377857341
Abidjan,Cote d'Ivoire,7,6179887.348837829,3450234.8114651735,1292608.0496558163,721663.8489925385,4.780944502460241,4.7809445024602395
Abidjan,Cote d'Ivoire,8,704106.2666721517,459309.6570174046,248856.4654058145,162336.5437611281,2.8293669827864574,2.829366982786457
Abidjan,Cote d'Ivoire,9,69705.07170504765,48572.70431417172,108091.64341608189,75321.68472185981,0.6448701259608837,0.6448701259608839
Abidjan,Cote d'Ivoire,10,71482.20445023866,43077.216781988944,108781.8762730896,65555.06370021772,0.6571150167587418,0.6571150167587416
Abidjan,Cote d'Ivoire,11,47232.3597420809,21778.487546995846,33399.301522026435,15400.167940958472,1.414172081141629,1.4141720811416296
Abu Zaby,United Arab Emirates,1,729524.9559540029,305658.55025436345,1436008.2226506812,601663.0245565268,0.508022826364738,0.508022826364738
Abu Zaby,United Arab Emirates,2,7869.906365625148,3344.0698077724746,22704.90926056445,9647.738869944733,0.3466169485774681,0.3466169485774682
Abu Zaby,United Arab Emirates,3,11802146.46141267,2774441.9759020917,1396773.2466407025,328352.67203023314,8.449579407249761,8.44957940724976
Abu Zaby,United Arab Emirates,4,494399.6245075291,243275.46896980747,1023387.2240506242,503570.38016891474,0.4831012278526085,0.4831012278526083
Abu Zaby,United Arab Emirates,5,59907.953394647906,41786.519661016864,132767.98852811087,92607.27246741846,0.4512228742696033,0.4512228742696034
Abu Zaby,United Arab Emirates,6,234654.54311343102,136650.44160521193,630527.7252360616,367186.12371458433,0.37215578906634017,0.37215578906634017
Abu Zaby,United Arab Emirates,7,20779474.766692787,6600737.077235812,2015086.0572524276,640105.3636469746,10.31195401898896,10.311954018988965
Abu Zaby,United Arab Emirates,8,1751856.417870563,616122.9722312554,488057.933863233,171648.60188620686,3.5894435810185605,3.589443581018559
Abu Zaby,United Arab Emirates,9,183139.98198327975,103300.90024870745,268236.9242279595,151300.19918437206,0.6827545555497027,0.6827545555497028
Abu Zaby,United Arab Emirates,10,179873.7612342526,38339.819530049754,218024.2716516721,46471.54299180729,0.8250171408513135,0.8250171408513136
Abu Zaby,United Arab Emirates,11,73802.37894650936,54361.66667718314,85611.88293528998,63060.360792805826,0.8620576538690677,0.8620576538690677
Acajutla,El Salvador,1,2925463.1098641264,448927.3745322953,355581.496908565,54565.8112389732,8.227264734802516,8.227264734802521
Acajutla,El Salvador,2,52.944093080446656,9.28630914001542,7718.119127604946,1353.7457349491538,0.006859714420717427,0.0068597144207174264
Acajutla,El Salvador,3,1151802.4132126367,176744.07296614314,496519.95758193935,76190.98432623927,2.3197504866107175,2.319750486610718
Acajutla,El Salvador,4,3134301.039969717,514300.73379513586,270906.8968576184,44452.53154284839,11.569661298128647,11.569661298128645
Acajutla,El Salvador,5,1123.197660785384,205.78728306673705,36983.1531978792,6775.888947730524,0.03037052180963828,0.03037052180963831
Acajutla,El Salvador,6,24042.472572504845,3588.1408226470476,120827.53751910974,18032.513859162813,0.19898173103711855,0.19898173103711855
Acajutla,El Salvador,7,1726311.7595441428,302259.0589629335,900701.9690086764,157703.45538891194,1.9166292724375218,1.9166292724375218
Acajutla,El Salvador,8,26832.45810927654,4226.417465834742,151680.86390783626,23891.461969015487,0.1769007468574307,0.1769007468574307
Acajutla,El Salvador,9,17496.906576678986,2623.1333850633305,48404.37345522234,7256.775787024114,0.36147367123478896,0.36147367123478885
