id,port_name,Continent_Code,country,iso3,lat,lon,handling,vessel_type_main
port871,Paarden Baai - (Orangestad),NA,Aruba,ABW,12.49781600927906,-70.01342292244526,0.29407353720221563,Container
port1202,Sint Nicolaas Baai,NA,Aruba,ABW,12.43187931264704,-69.90619664177473,0.29407353720221563,Container
port52,Anguilla,NA,Anguilla,AIA,18.19750881388359,-63.09072719324261,0.2911679610678304,Container
port1221,St Johns,NA,Antigua and Barbuda,ATG,17.12392657965034,-61.85103051953422,0.297368397077707,Container
port409,Goto Oil Terminal,NA,Bonaire,BES,12.22279620484217,-68.38355445050236,0.29407353720221563,Container
port598,Kralendijk,NA,Bonaire,BES,12.14853792934883,-68.27703344218891,0.29407353720221563,Container
port857,Oranjestad,NA,Sint Eustatius,BES,17.47773288118434,-62.9863004416512,0.29407353720221563,Container
port1292,The Bottom,NA,Saba,BES,17.6159660510023,-63.2508036491533,0.29407353720221563,Container
port251,Clifton Pier,NA,Bahamas,BHS,25.00515191315602,-77.54462512670035,0.23675263327461973,Container
port821,Nicholls Town,NA,Bahamas,BHS,25.17575429925169,-78.02701829190465,0.23675263327461973,Container
port357,Freeport,NA,Bahamas,BHS,26.52451521480031,-78.7626658095323,0.23675263327461973,Container
port388,Georgetown,NA,Bahamas,BHS,23.50673764955679,-75.76789416525226,0.23675263327461973,Container
port713,Marsh Harbor,NA,Bahamas,BHS,26.54240323369487,-77.06447366502589,0.23675263327461973,Container
port1215,South Riding Point,NA,Bahamas,BHS,26.62587961162109,-78.23178656323833,0.23675263327461973,Container
port721,Matthew Town,NA,Bahamas,BHS,21.046856905565,-73.64616407378972,0.23675263327461973,Container
port798,Nassau,NA,Bahamas,BHS,25.08066367445793,-77.3419578366678,0.23675263327461973,Container
port430,Gustavia,NA,Saint-Barthelemy,BLM,17.90299025728305,-62.85264580554839,0.2911679610678304,Container
port142,Belize City,NA,Belize,BLZ,17.48149658432843,-88.20242778379423,0.2911679610678304,Container
port148,Big Creek,NA,Belize,BLZ,16.51539603864761,-88.40363899597536,0.2911679610678304,Container
port63,Arawak,NA,Barbados,BRB,13.28676152960804,-59.64823156661467,0.2911679610678304,Container
port171,Bridgetown,NA,Barbados,BRB,13.10661494598619,-59.62744790971323,0.2911679610678304,Container
port47,Anacortes,NA,Canada,CAN,48.48677700366743,-122.5688457058046,0.3571,Container
port66,Argentia,NA,Canada,CAN,47.33890642242393,-53.93354604064832,0.29628437207724145,Container
port93,Baie Comeau,NA,Canada,CAN,49.24803551848002,-68.1413618900073,0.29628437207724145,Container
port211,Canaport (St. John),NA,Canada,CAN,45.21338637894184,-65.98533042919031,0.29628437207724145,Container
port236,Cherry Point,NA,Canada,CAN,48.85252004956763,-122.7139354060087,0.3571,Container
port248,Clarkson,NA,Canada,CAN,43.49767819944188,-79.61775485378543,0.29819899015330376,Container
port256,Come By Chance Harbor,NA,Canada,CAN,47.78874082562783,-54.00048293234882,0.29340802735528365,Container
port405,Goose Bay,NA,Canada,CAN,53.3429207217487,-60.39999747740323,0.29628437207724145,Container
port443,Halifax,NA,Canada,CAN,44.6662319344433,-63.5718513763458,0.2612449724037438,Container
port447,Hamilton,NA,Canada,CAN,43.27190232495254,-79.81043225504946,0.28757266398551884,Container
port455,Harmac,NA,Canada,CAN,49.1410403104077,-123.8657233386048,0.29628437207724145,Container
port615,La Baie (Port Alfred),NA,Canada,CAN,48.36485560433687,-70.8554000380969,0.29628437207724145,Container
port766,Montreal,NA,Canada,CAN,45.54455368185625,-73.53480189392985,0.24746903319466806,Container
port814,New Westminster,NA,Canada,CAN,49.1751052493372,-122.9775675099461,0.29628437207724145,Container
port931,Port Angeles,NA,Canada,CAN,48.12879898102893,-123.4543289538694,0.3571,Container
port935,Port Aux Basques,NA,Canada,CAN,47.58178167374431,-59.14108659961327,0.29628437207724145,Container
port936,Port Bayside NB,NA,Canada,CAN,45.16295904292374,-67.13762394561356,0.29628437207724145,Container
port938,Port Cartier,NA,Canada,CAN,50.02986923596526,-66.80000199365905,0.29521580170373807,Container
port946,Port Dover,NA,Canada,CAN,42.80815076915975,-80.09860632800267,0.29628437207724145,Container
port1075,Quebec,NA,Canada,CAN,46.79533437486303,-71.20615814982528,0.29628437207724145,Container
port1166,Sarnia,NA,Canada,CAN,42.95496401232852,-82.4133242224889,0.29811342506181465,Container
port1181,Sept Iles,NA,Canada,CAN,50.17802480822401,-66.41080854394924,0.28670526091043413,Container
port1219,St John,NA,Canada,CAN,45.27239980359263,-66.03688906547066,0.29735791703362313,Container
port1220,St John's,NA,Canada,CAN,47.56031799474378,-52.70436538209804,0.29337232484733866,Container
port1244,Sydney,NA,Canada,CAN,48.68674921280944,-123.4107106594816,0.29628437207724145,Container
port1295,Thunder Bay,NA,Canada,CAN,48.3841792968307,-89.24340302135263,0.2974387726542271,Container
port1312,Toronto,NA,Canada,CAN,43.65153487512207,-79.39048025744374,0.2972935477224377,Container
port1320,Trois Rivieres,NA,Canada,CAN,46.33296536607257,-72.553068243561,0.29628437207724145,Container
port1350,Vancouver,NA,Canada,CAN,49.289963992324,-123.0289043972785,0.21585921620973234,Container
port402,Golfito,NA,Costa Rica,CRI,8.636992620480534,-83.16710591510046,0.29337848412142203,Container
port1032,Puerto Caldera,NA,Costa Rica,CRI,9.912483159707406,-84.7158536192548,0.29337848412142203,Container
port1052,Puerto Moin,NA,Costa Rica,CRI,10.00152271730943,-83.08925317000586,0.29337848412142203,Container
port86,Bahai De La Habana,NA,Cuba,CUB,23.12766954941444,-82.33371674830617,0.2920668173406027,Container
